Record Id,Commissary Item,Item Type,ID,Available,Category,Inventory Unit Of Measure,Selling Unit Of Measure,Order Guides,Cost,Markup,Selling Price,Source Item,Sales Account,Taxable
435,OTF Sandwich Roast Beef & Provolone,Recipe,,TRUE,Grab & Go,Each,Each,OTF CATALOG,2.4712,50,3.71,OTF Sandwich Roast Beef & Provolone,4104 - Grab & Go Food Sales,FALSE
446,OTF Sandwich Roast Beef Baguette,Recipe,,TRUE,Grab & Go,Each,Each,OTF CATALOG,3.1494,50,4.72,OTF Sandwich Roast Beef Baguette,4104 - Grab & Go Food Sales,FALSE
20,OTF Sandwich Roast Turkey & Fig,Recipe,,TRUE,Grab & Go,Each,Each,"PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",2.7044,50,4.06,OTF Sandwich Roast Turkey & Fig,4104 - Grab & Go Food Sales,FALSE
39,OTF Sandwich Southwest Breakfast,Recipe,,TRUE,Grab & Go,Each,Each,"PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",0.8826,50,1.32,OTF Breakfast Southwest Sandwich,4106 - Comm Prepped Food Sales,FALSE
442,OTF Sandwich SW Chicken,Recipe,,TRUE,Grab & Go,Each,Each,PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***,2.4514,50,3.68,OTF Sandwich SW Chicken,4104 - Grab & Go Food Sales,FALSE
447,OTF Sandwich Traditional Chicken Salad,Recipe,,TRUE,Grab & Go,Each,Each,,2.3354,50,3.5,OTF Sandwich Traditional Chicken Salad,4104 - Grab & Go Food Sales,FALSE
437,OTF Sandwich Turkey & Cheddar on White,Recipe,,TRUE,Grab & Go,Each,Each,,2.3115,50,3.47,OTF Sandwich Turkey & Cheddar on White,4104 - Grab & Go Food Sales,FALSE
453,"OTF Sandwich Turkey, Ham & Swiss",Recipe,,TRUE,Grab & Go,Each,Each,OTF CATALOG,2.2152,50,3.32,"OTF Sandwich Turkey, Ham & Swiss",4104 - Grab & Go Food Sales,FALSE
9,OTF Side Salad Asian Slaw,Recipe,,TRUE,Grab & Go,Each,Each,,1.4392,50,2.16,OTF Side Salad Asian Slaw,4104 - Grab & Go Food Sales,FALSE
458,OTF Side Salad Buffalo Chicken,Recipe,,TRUE,Grab & Go,Each,Each,,2.0327,50,3.05,OTF Side Salad Buffalo Chicken,4104 - Grab & Go Food Sales,FALSE
8,OTF Side Salad Classic Potato,Recipe,,TRUE,Grab & Go,Each,Each,,1.7529,50,2.63,OTF Side Salad Classic Potato,4104 - Grab & Go Food Sales,FALSE
457,OTF Side Salad Curry Chicken,Recipe,,TRUE,Grab & Go,Each,Each,,2.608,50,3.91,OTF Side Salad Curry Chicken,4104 - Grab & Go Food Sales,FALSE
459,OTF Side Salad Curry Chickpea,Recipe,,TRUE,Grab & Go,Each,Each,,1.3333,50,2,OTF Side Salad Curry Chickpea,4104 - Grab & Go Food Sales,FALSE
